text,URL,label,url_length,has_ip_address,dot_count,https_flag,subdomain_count
"Your account has been compromised, click here 1252",http://192.168.232.232/login.php,1,32,1,4,0,3
"Welcome to our website, user 4684",https://www.legit4684.com/login,0,31,0,2,1,1
"Welcome to our website, user 1731",https://www.legit1731.com/login,0,31,0,2,1,1
"Welcome to our website, user 4742",https://www.legit4742.com/login,0,31,0,2,1,1
"Welcome to our website, user 4521",https://www.legit4521.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 1340",http://192.168.65.65/login.php,1,30,1,4,0,3
"Welcome to our website, user 576",https://www.legit576.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 202",http://192.168.202.202/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1363",http://192.168.88.88/login.php,1,30,1,4,0,3
"Welcome to our website, user 439",https://www.legit439.com/login,0,30,0,2,1,1
"Welcome to our website, user 2750",https://www.legit2750.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2487",http://192.168.192.192/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 272",http://192.168.17.17/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 653",http://192.168.143.143/login.php,1,32,1,4,0,3
"Welcome to our website, user 3999",https://www.legit3999.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 1033",http://192.168.13.13/login.php,1,30,1,4,0,3
"Welcome to our website, user 582",https://www.legit582.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 4930",http://192.168.85.85/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 2051",http://192.168.11.11/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 3158",http://192.168.98.98/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 4896",http://192.168.51.51/login.php,1,30,1,4,0,3
"Welcome to our website, user 2249",https://www.legit2249.com/login,0,31,0,2,1,1
"Welcome to our website, user 4640",https://www.legit4640.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4485",http://192.168.150.150/login.php,1,32,1,4,0,3
"Welcome to our website, user 4947",https://www.legit4947.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4920",http://192.168.75.75/login.php,1,30,1,4,0,3
"Welcome to our website, user 1963",https://www.legit1963.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3243",http://192.168.183.183/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1590",http://192.168.60.60/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 3847",http://192.168.22.22/login.php,1,30,1,4,0,3
"Welcome to our website, user 321",https://www.legit321.com/login,0,30,0,2,1,1
"Welcome to our website, user 2678",https://www.legit2678.com/login,0,31,0,2,1,1
